name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tunisia,2016-07-25,31.9,24,27.3,32.4,24,27.5,18.1,58.8,0,0,0,,0,0,51.4,34.1,286.4,1015.7,33.7,10,312,27,9,,2016-07-25T05:19:33,2016-07-25T19:31:36,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-26,32.9,23.8,27.6,33.4,23.8,27.9,18.3,59,0,0,0,,0,0,51.8,27.7,286.4,1016.5,35,9.8,307.9,26.5,9,,2016-07-26T05:20:20,2016-07-26T19:30:48,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60715099999,DTTA,DTTB"
tunisia,2016-07-27,33.2,23,28.1,33.1,23,28.1,16.9,52.9,0,0,0,,0,0,53.3,30.6,287.5,1016.2,22.6,10,315.9,27.2,9,,2016-07-27T05:21:07,2016-07-27T19:29:59,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60715099999,DTTA,DTTB"
tunisia,2016-07-28,33.9,23,28.5,35,23,28.5,15.5,46.6,0,0,0,,0,0,38.8,25.8,330.8,1015.8,12.5,10,316.2,27.2,9,,2016-07-28T05:21:54,2016-07-28T19:29:09,0.81,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-29,34.9,23,28.1,35.4,23,28.1,15.6,48.5,0,0,0,,0,0,42.3,25.8,337.9,1015.4,0,10,315.1,27.2,9,,2016-07-29T05:22:42,2016-07-29T19:28:17,0.84,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-30,34,20.8,27,33.7,20.8,27.2,18.6,65.1,0.001,100,4.17,rain,0,0,28.8,19.4,28.9,1015.8,11.2,9.9,316.2,27.2,9,,2016-07-30T05:23:29,2016-07-30T19:27:24,0.88,Rain,Clear conditions throughout the day with early morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-07-31,38,21.7,29.6,38.1,21.7,29.6,17.2,53.3,0.19,100,4.17,rain,0,0,22.7,14.8,52.2,1014.9,1.9,10,315.6,27.2,9,,2016-07-31T05:24:18,2016-07-31T19:26:29,0.91,Rain,Clear conditions throughout the day with morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-01,38.9,24.9,30.7,39.6,24.9,31.5,17,45.5,0,0,0,,0,0,39.5,25.3,328.4,1015.1,36.6,10,279.4,23.9,9,,2016-08-01T05:25:06,2016-08-01T19:25:32,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-02,32.8,23.5,28.1,31.8,23.5,27.9,15.5,48.1,0,0,0,,0,0,50.2,30.1,297,1016.8,29.3,10,309.5,26.6,9,,2016-08-02T05:25:54,2016-08-02T19:24:35,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-03,31.9,23,26.7,33.1,23,27,18.3,61.6,0,0,0,,0,0,44.5,31.5,322.2,1016,22.2,10,310.6,26.6,9,,2016-08-03T05:26:43,2016-08-03T19:23:36,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-04,33,19.4,27,33.5,19.4,27.2,17.2,58.3,0,0,0,,0,0,26.3,16.6,23.1,1014.4,10.2,10.1,309.5,26.5,9,,2016-08-04T05:27:32,2016-08-04T19:22:35,0.05,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-05,35.9,21,28.6,36.2,21,28.9,17.3,53.7,0,0,0,,0,0,37.1,23.5,11.5,1013.3,8.9,9.9,305.6,26.3,9,,2016-08-05T05:28:21,2016-08-05T19:21:34,0.08,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-06,30,23.9,26.5,29.7,23.9,26.4,16.5,55.4,0,0,0,,0,0,70.6,37.1,281.1,1016.7,20.3,10,299.9,25.7,9,,2016-08-06T05:29:10,2016-08-06T19:20:31,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-07,31,23,26.2,31.3,23,26.3,16.9,57.9,0,0,0,,0,0,51.8,31.1,300.4,1017.8,36.7,10,226.5,19.6,7,,2016-08-07T05:29:59,2016-08-07T19:19:27,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60715099999,DTTA,DTTB"
tunisia,2016-08-08,31.9,22,26.5,31.9,22,26.6,17.9,61.6,0,0,0,,0,0,50,27.6,316.5,1018.4,30.5,10,265.6,22.9,8,,2016-08-08T05:30:49,2016-08-08T19:18:21,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-09,31.9,22,26.4,33,22,26.8,18.3,62.4,0,0,0,,0,0,34.6,22.1,331.3,1016.5,23.9,10,301.3,26,9,,2016-08-09T05:31:38,2016-08-09T19:17:15,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-10,31,20,26.3,32.8,20,26.8,18,62.3,0,0,0,,0,0,38.8,23.1,338.1,1014.1,26.7,10,284.3,24.4,8,,2016-08-10T05:32:27,2016-08-10T19:16:07,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-11,29.9,23,25.6,29.4,23,25.4,14,50.2,0,0,0,,0,0,53.6,29.5,282,1017.7,30.7,10,252.7,21.7,9,,2016-08-11T05:33:16,2016-08-11T19:14:58,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-12,30,21.4,25,29.3,21.4,24.8,15.1,56.1,0,0,0,,0,0,64.8,29.4,305.5,1020.8,27.9,9.8,285.1,24.8,9,,2016-08-12T05:34:06,2016-08-12T19:13:48,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-13,29,20,24.4,28.8,20,24.5,16.5,62.9,0,0,0,,0,0,37.2,23.9,341.9,1021.3,20,10,278.1,24.1,9,,2016-08-13T05:34:55,2016-08-13T19:12:37,0.34,Clear,Partly cloudy throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-14,29.1,19.7,24.8,29.7,19.7,25,17.2,63.9,0,0,0,,0,0,32.4,18.4,32.7,1020.3,17.8,10,297.6,25.8,9,,2016-08-14T05:35:45,2016-08-14T19:11:24,0.37,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-15,32.9,21,26.6,32.4,21,26.7,17.8,61.4,0,0,0,,0,0,44.3,24.1,114.2,1018.1,28.8,10,298,25.7,9,,2016-08-15T05:36:34,2016-08-15T19:10:11,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-16,33.9,22,28.1,35.7,22,29.4,20.2,63.8,0,0,0,,0,0,43.3,19.1,85.5,1015.4,18.6,10,289.5,24.9,9,,2016-08-16T05:37:23,2016-08-16T19:08:57,0.44,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-17,32.9,24,27.2,34.9,24,28.3,20.7,68.8,0.14,100,8.33,rain,0,0,38.3,30.3,352.4,1012.6,29.3,10,238.7,20.7,7,,2016-08-17T05:38:12,2016-08-17T19:07:42,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-18,32,19.7,25.7,33.4,19.7,26,18.6,67.4,0,0,0,,0,0,29.9,15.5,352.3,1012.6,25,10,286.9,24.7,9,,2016-08-18T05:39:02,2016-08-18T19:06:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-19,36,20.9,28.7,35.8,20.9,28.9,17.3,55.1,0.005,100,4.17,rain,0,0,40.2,18.4,108.2,1012.3,25.2,9.7,286.2,24.8,9,,2016-08-19T05:39:51,2016-08-19T19:05:09,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-20,37.9,22,30.5,38,22,31.2,17.9,51.5,0.003,100,4.17,rain,0,0,32,17.3,87.7,1012.8,13.6,10,287.3,24.9,9,,2016-08-20T05:40:40,2016-08-20T19:03:51,0.57,Rain,Clear conditions throughout the day with morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-21,35.4,24,29.1,38.2,24,30.4,19.7,59.3,0,0,0,,0,0,46.2,27.7,314.3,1015.2,9.9,10,279.7,24.3,9,,2016-08-21T05:41:29,2016-08-21T19:02:32,0.61,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-22,30.9,23,26.4,30.6,23,26.4,16.5,56.1,0,0,0,,0,0,83.5,36.8,289.3,1018.6,22.1,10.1,288.6,25,9,,2016-08-22T05:42:18,2016-08-22T19:01:12,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-23,29,22,25.1,29.7,22,25.2,17.2,62.7,0.012,100,4.17,rain,0,0,59.4,38.8,319,1018.1,40.4,10.1,261.1,22.7,8,,2016-08-23T05:43:07,2016-08-23T18:59:52,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-24,30,22,25.4,30.4,22,25.7,17.7,63.6,0,0,0,,0,0,55.1,33.3,331.3,1016.9,33.5,10,253,21.8,8,,2016-08-24T05:43:56,2016-08-24T18:58:31,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-25,30,22.2,25.9,31.7,22.2,26.3,19.2,68.3,0,0,0,,0,0,37.1,22.2,352.9,1015.6,37.9,10,270.2,23.3,9,,2016-08-25T05:44:44,2016-08-25T18:57:09,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-26,31.1,21,26.1,32.5,21,26.7,19.4,68.1,0,0,0,,0,0,36.5,21.4,30.9,1016.3,15.1,10,276.4,23.8,9,,2016-08-26T05:45:33,2016-08-26T18:55:46,0.79,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-27,34,23,28.2,36.5,23,29.3,20.5,65.8,0.005,100,4.17,rain,0,0,37.3,20.6,91.3,1017.6,6.9,9.7,261,22.4,9,,2016-08-27T05:46:22,2016-08-27T18:54:23,0.82,Rain,Clear conditions throughout the day with morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-28,34,23,28.1,35.7,23,29.7,21.1,67.5,0,0,0,,0,0,33.5,22.3,21.1,1018.3,16.1,10,271,23.3,9,,2016-08-28T05:47:10,2016-08-28T18:52:59,0.86,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-29,34,24,27.8,35.6,24,28.6,20.5,68.1,0.003,100,4.17,rain,0,0,27.9,16.5,27.8,1017.4,23.3,9.3,267.4,22.9,9,,2016-08-29T05:47:59,2016-08-29T18:51:34,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-30,35.9,23,28.9,37.4,23,30,19,57.5,0,0,0,,0,0,44.4,19.8,17.6,1015,29.9,10,254.3,21.8,8,,2016-08-30T05:48:47,2016-08-30T18:50:09,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-08-31,32,23.6,26.8,34.9,23.6,27.9,21.3,72.5,0.013,100,8.33,rain,0,0,34.1,24.1,357,1016.7,30.9,9.8,220.2,19.2,7,,2016-08-31T05:49:35,2016-08-31T18:48:44,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-01,32,23,26.9,33,23,27.5,19.5,65.9,0,0,0,,0,0,47.9,31.5,317.3,1018.7,38,10.2,261.7,22.5,8,,2016-09-01T05:50:24,2016-09-01T18:47:17,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-02,31.9,23,26.6,33.4,23,27.2,19.4,66.2,0,0,0,,0,0,47.9,31.5,314.4,1019.1,41.4,10,225.4,19.3,7,,2016-09-02T05:51:12,2016-09-02T18:45:51,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-03,32.9,22,27.3,33.9,22,27.8,19,62.9,0,0,0,,0,0,38.8,23.8,306.7,1018.9,33.2,9.9,246.2,21.3,8,,2016-09-03T05:52:00,2016-09-03T18:44:23,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-04,32.9,22,27.2,33.7,22,27.6,17,55.1,0.001,100,4.17,rain,0,0,38.7,22.3,323.8,1018.9,26.7,10,264.1,22.8,9,,2016-09-04T05:52:48,2016-09-04T18:42:56,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-05,35.9,23,29.6,34.2,23,28.6,10.7,32.7,0,0,0,,0,0,51.5,29.8,263.4,1016.4,30.5,10,215.4,18.5,7,,2016-09-05T05:53:36,2016-09-05T18:41:27,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-06,32,24,27.6,32.9,24,28.2,17.3,54.2,0.548,100,12.5,rain,0,0,53.6,31.5,312.1,1012.3,43.3,8.8,208.9,17.9,7,,2016-09-06T05:54:24,2016-09-06T18:39:59,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-07,26.9,19,23,27.1,19,23,16,66,14.241,100,16.67,rain,0,0,50,23.9,293.2,1012.8,52,9.6,162.8,14.1,6,,2016-09-07T05:55:12,2016-09-07T18:38:30,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-08,28.9,20,24.2,29.4,20,24.3,17.4,66.9,0.06,100,4.17,rain,0,0,57.7,31.6,283.1,1012.1,52.6,9.7,199.6,17.2,6,,2016-09-08T05:56:00,2016-09-08T18:37:01,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-09,30,23,25.8,30.8,23,26,18.6,65.9,0,0,0,,0,0,46.6,29.5,289.7,1013.4,44.5,9.7,213.9,18.5,7,,2016-09-09T05:56:48,2016-09-09T18:35:31,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-10,30,22,25.7,31.8,22,26.2,19.3,68.8,0,0,0,,0,0,33.4,22.2,286.5,1013.8,30,10,218.1,18.7,7,,2016-09-10T05:57:36,2016-09-10T18:34:02,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-11,29.2,21.4,25.2,31.3,21.4,25.6,19.4,71.5,0.038,100,8.33,rain,0,0,41.6,22.3,322.7,1014.9,35,9.8,216.2,18.8,8,,2016-09-11T05:58:24,2016-09-11T18:32:32,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-12,30.7,22,25.4,32.4,22,25.9,19.7,72.3,0.005,100,4.17,rain,0,0,40.2,21.9,346,1016,24.9,9.9,223.4,19.4,8,,2016-09-12T05:59:12,2016-09-12T18:31:01,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-13,32,20,25.9,33.7,20,26.7,20.4,74.5,0,0,0,,0,0,42.6,21.7,86.7,1013.7,19.9,9.3,226.8,19.7,8,,2016-09-13T06:00:00,2016-09-13T18:29:31,0.39,Clear,Clear conditions throughout the day.,clear-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-14,32,24,27.5,35.8,24,29.4,22.7,76.2,0.188,100,4.17,rain,0,0,38.9,13.2,100.3,1012.7,37,9,218.3,18.9,8,,2016-09-14T06:00:48,2016-09-14T18:28:00,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-15,32,23,27.1,34.1,23,27.9,20.2,67.3,0.868,100,16.67,rain,0,0,40.8,24.7,112.2,1015.4,39.3,9.1,206,17.7,7,,2016-09-15T06:01:37,2016-09-15T18:26:29,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-16,31,24.9,27,33.7,24.9,27.9,20.6,68.9,0.005,100,4.17,rain,0,0,49,30,332.9,1015.6,52.2,9.6,154.5,13.4,6,,2016-09-16T06:02:25,2016-09-16T18:24:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-17,28,23,25.2,28.3,23,25.4,16.3,58.2,0,0,0,,0,0,53.6,19.1,336.7,1017.6,56.6,10,197.9,17,7,,2016-09-17T06:03:13,2016-09-17T18:23:27,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-18,29.9,22,25.1,30,22,25.1,15.5,56.3,0.21,100,4.17,rain,0,0,49.7,29.4,301.8,1014.9,53.9,10,177.6,15.4,6,,2016-09-18T06:04:01,2016-09-18T18:21:56,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-19,26,21,23.2,26,21,23.2,15.4,61.7,0.445,100,12.5,rain,0,0,59.4,34.1,272.5,1014.7,64.3,9.2,180.7,15.6,6,,2016-09-19T06:04:50,2016-09-19T18:20:25,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60714099999,60729099999,60720099999,DTTL,60715099999,DTTA,DTTB"
tunisia,2016-09-20,28,21,23.6,28,21,23.6,15.2,60.3,0.2,100,4.17,rain,0,0,44.6,24.1,283.5,1014.5,62.9,9.4,150.7,12.9,6,,2016-09-20T06:05:38,2016-09-20T18:18:54,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"60714099999,60729099999,60720099999,DTTL,60715099999,DTTA,DTTB"
tunisia,2016-09-21,28.9,18.7,23.9,28.6,18.7,23.9,15,58.9,0.007,100,4.17,rain,0,0,38.5,22.2,286.3,1016.2,42.7,9.9,188.4,16.3,7,,2016-09-21T06:06:27,2016-09-21T18:17:23,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-22,30.8,20,24.1,29.8,20,24.1,16.5,64.7,0,0,0,,0,0,46.1,22.4,3,1019,27.5,10,205.3,17.8,7,,2016-09-22T06:07:16,2016-09-22T18:15:52,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-23,28,18.2,22.4,28.9,18.2,22.5,18,77.6,28.787,100,8.33,rain,0,0,46.3,14.8,104.4,1021.7,50.6,9.6,132.8,11.6,5,,2016-09-23T06:08:04,2016-09-23T18:14:21,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"60714099999,60729099999,60720099999,DTTL,60728099999,60715099999,DTTA,DTTB"
tunisia,2016-09-24,28,18,23.2,28.5,18,23.2,18.3,75.5,0.141,100,4.17,rain,0,0,33.5,18.3,102.3,1020.6,31.7,9.2,190.3,16.5,7,,2016-09-24T06:08:53,2016-09-24T18:12:51,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"60714099999,60729099999,60720099999,DTTL,60715099999,DTTA,DTTB"
